Colegio,Dependencia,RBD,IVE ( % ),Región,Comuna,Nº de docentes total (colegio),Nº de estudiantes total (colegio),N° estudiantes por curso (aprox),Niveles educacionales
Escuela Básica Saint Francis College,Part. Sub.,25129,82,RM,Maipú,,121,15,Básica
Escuela Antillanca,Part. Sub.,11928,"82,3",RM,Puente Alto,,163,20,Básica
Colegio María Auxiliadora de Santiago,Part. Sub.,25509,"33,2",RM,Santiago,,854,35,Básica y media
Escuela Santa Teresita,Part. Sub.,4786,"90,7",VIII,Hualpén,,359,35,Párvulo y básica
Colegio Madres Dominicas,Part. Sub.,6254,82,IX,Pitrufquén,,838,28,Párvulo y básica
Esc. Particular María Letelier De Prieto,Part. Sub.,1350,"75,6",V,Llaillay,,604,30,Párvulo y básica
Escuela Particular Alfarero,Part. Sub.,25155,"67,3",RM,Maipú,,376,37,Párvulo y básica
Escuela Particular Santa Ana,Part. Sub.,1593,"91,9",V,Valparaíso,,599,29,Párvulo y básica
Escuela Basica San Sebastian De Batuco,Part. Sub.,10430,"89,3",RM,Lampa,,726,36,Párvulo y básica
Escuela Particular Nuevo Horizonte,Part. Sub.,10035,"85,2",RM,Quinta Normal,,299,33,Párvulo y básica
Escuela Part. Anny School,Part. Sub.,14848,"84,7",V,La Cruz,,240,24,Párvulo y básica
Escuela Particular Hugo Errázuriz,Part. Sub.,1751,"81,4",V,Viña del Mar,,667,33,Párvulo y básica
Escuela Particular Karol C.de Cracovia,Part. Sub.,9847,"90,4",RM,Pedro Aguirre Cerda,,969,40,Párvulo y básica
Escuela Particular Laura Vicuna,Part. Sub.,9507,"83,6",RM,San Joaquín,,360,36,Párvulo y básica
Esc. Silvia Salas Edwards,Part. Sub.,8678,"82,9",RM,Estación Central,,350,35,Párvulo y básica
Esc. Part. Unión Latinoamericana,Part. Sub.,10376,"81,2",RM,Conchalí,,245,24,Párvulo y básica
Escuela Básica N 41 Augusto D`halmar,Part. Sub.,10768,"75,5",RM,Peñaflor,,509,28,Párvulo y básica
Escuela Particular San Vicente Ferrer,Part. Sub.,10168,"75,4",RM,Cerro Navia,,777,38,Párvulo y básica
Liceo Partc. Alberto Magno,Part. Sub.,11792,87,RM,La Florida,,971,33,Párvulo y básica
Colegio Antamara,Part. Sub.,12594,"63,2",I,Iquique,,687,31,Párvulo y básica
Escuela Bás. Akori,Part. Sub.,26158,"82,2",RM,Cerrillos,,297,29,Párvulo y básica
Colegio Nuevo Horizonte,Part. Sub.,16945,"91,7",V,Quillota,,329,32,"Párvulo, básica y media"
Liceo Menesiano Sagrado Corazon,Part. Sub.,1347,"84,1",V,Llaillay,,723,31,"Párvulo, básica y media"
Colegio La Providencia,Part. Sub.,3302,"80,8",VIII,Linares,,963,37,"Párvulo, básica y media"
Centro Educacional Menesiano,Part. Sub.,10833,"78,8",RM,Melipilla,,1.071,36,"Párvulo, básica y media"
Colegio San José,Part. Sub.,4307,"68,6",VIII,Cabrero,,1.079,38,"Párvulo, básica y media"
Liceo Gabriela Mistral,Part. Sub.,5150,"68,3",VIII,Cañete,,1.361,40,"Párvulo, básica y media"
Escuela Particular Rosario Concha,Part. Sub.,9369,"62,2",RM,La Florida,,983,44,"Párvulo, básica y media"
Colegio Leonardo Da Vinci,Part. Sub.,14885,"59,3",V,Llaillay,,239,17,"Párvulo, básica y media"
Colegio San Cristobal,Part. Sub.,17708,"50,7",VIII,Talcahuano,,383,29,"Párvulo, básica y media"
Colegio San Viator,Part. Sub.,24427,49,RM,Macúl,,1.219,43,"Párvulo, básica y media"
Colegio Alberto Hurtado Segundo,Part. Sub.,1610,"86,9",V,Valparaíso,,701,28,"Párvulo, básica y media"
Colegio Grace School,Part. Sub.,9845,"78,2",RM,Pedro Aguirre Cerda,,929,42,"Párvulo, básica y media"
Col. Ida. Concepc. Ntra. Sra. Lourdes,Part. Sub.,1632,"76,3",V,Valparaíso,,534,41,"Párvulo, básica y media"
Colegio Cristo Rey Salvador,Part. Sub.,14568,"54,6",V,San Antonio,,466,33,"Párvulo, básica y media"
Escuela Colegio Alberto Blest Gana,Part. Sub.,9659,"82,7",RM,San Ramón,,1.585,37,"Párvulo, básica y media"
Colegio Rukalaf,Part. Sub.,31221,"69,2",IV,La Serena,,275,30,"Párvulo, básica y media"
Liceo Particular Ramón Freire,Part. Sub.,8194,"68,5",X,Quinchao,,518,27,"Párvulo, básica y media"
Escuela Básica Echaurren N° 2,Part. Sub.,26228,"54,7",RM,Estación Central,,783,30,"Párvulo, básica y media"
Col. part. Inmac. Conc. De Ntra. Sra. De Lourdes,Part. Sub.,10772,"48,1",RM,Peñaflor,,944,37,"Párvulo, básica y media"
 Colegio Manquemávida,Part. Sub.,15664,"70,2",VI,Santa Cruz,,1.531,33,"Párvulo, básica y media"
Colegio Juan Pablo II,Part. Sub.,30003,"77,5",XV,Arica,,660,34,"Párvulo, básica y media"
Colegio Santa Marta,Part. Sub.,648,"63,7",IV,Coquimbo,,1.110,39,"Párvulo, básica y media"
Colegio Marista Marcelino Champagnat,Part. Sub.,9634,"91,7",RM,La Pintana,90,"2,072",37,"Párvulo, básica y media técnico"
Colegio Santa María de Aconcagua,Part. Sub.,1327,"87,5",V,Santa María,,923,32,"Párvulo, básica y media técnico"