Juego, Cantidad de veces en ludotecas
"CACAO", 0
"CANVAS ", 0
"CANVAS ", 0
"CORTEX 2", 0
"CORTEX GEO", 0
"DIAMANT", 0
"DOGGY STYLE ", 0
"DOGGY STYLE ", 0
"DR. MICROBE", 0
"EL CAPITÁN", 0
"EL SEÑOR DIX", 0
"EL SWITCHER", 0
"HURRICOUNT", 0
"JENGA", 0
"KALEIDOS JUNIOR", 0
"KRÉUS", 0
"LANGLAND YATZY ", 0
"LEGO: BLOQUES DE CONSTRUCCIÓN", 0
"MATEMATIKART", 0
"MMM", 0
"MR. WOLF", 0
"MULTIBLOOM", 0
"MULTIMANY", 0
"MY RUMMY KIDS ", 0
"NUMBERLOOR", 0
"PROJECT L", 0
"QUORUM", 0
"SCRABBLE JUNIOR", 0
"Size Up", 0
"SPLITTISSIMO", 0
"STELLA DIXIT UNIVERSE", 0
"STONE AGE", 0
"TE LO DIGO CON LA CARA", 0
"TIME´S UP! FAMILY", 0
"TRAFFICARS", 0
"TRIPLE DOMINO ", 0
"TWISTER", 0
"ZORROS AL CORRAL ", 0
"ABLUXXEN", 1
"ANIMOUV ", 1
"AVALON ", 1
"AZUL ", 1
"BIENVENIDOS A LA MAZMORRA ", 1
"BIOVIVA", 1
"BLANK", 1
"BOHNANZA", 1
"BOLSA DE PAPITAS", 1
"BRAIN BOX ", 1
"BRUXELLES ", 1
"BURRO DE CARGA", 1
"CATOWL", 1
"COLORETTO", 1
"CORRALES A TOPE", 1
"CRAZY CLACK", 1
"DANY", 1
"DODELIDO EXTREME", 1
"DOGGY STYLE ", 1
"DOGGY STYLE ", 1
"DOMINO ", 1
"EL CURSO DE LA HISTORIA ", 1
"ELECTROPOLIS", 1
"EL HOMBRE LOBO EDICIÓN DEFINITIVA ", 1
"ENIGMAS MISTERIOS DE LA CIENCIA", 1
"EUROPE DIVIDED", 1
"FRUI10", 1
"GANZ SCHÖN CLEVER ", 1
"HANDS UP ", 1
"JOOMBA", 1
"JUGUEMOS + CERCA", 1
"JUNTA, EL JUEGO DE CARTAS ", 1
"KABUKI", 1
"KARUBA JUNIOR", 1
"KNISTER ", 1
"LA LIEBRE Y LA TORTUGA", 1
"LA TARTA DE LOS MONSTRUOS ", 1
"LA TORRE ENCANTADA", 1
"LA TRIPULACIÓN ", 1
"LIGRETO", 1
"LOCO LOCO LOCO ", 1
"MANOS ARRIBA", 1
"MI PRIMER FRUTAL", 1
"MONOPOLI CHILE", 1
"PANDEMIC RESPUESTA RÁPIDA ", 1
"PENGOLOO", 1
"PIXEL TANGRAM ", 1
"PUSH", 1
"QWINTO ", 1
"RALLYE", 1
"RAMEN FURY ", 1
"RAT-A-TAT-CAT", 1
"RED 7 ", 1
"RESCATE", 1
"SAY MY NAME", 1
"SCRABBLE ", 1
"SERPIENTES Y ESCALERAS ", 1
"SIMPLEMENTE GENIAL", 1
"SIZE UP", 1
"SPOOKIES", 1
"TORI TORI - ESPECIES EN PELIGRO", 1
"TUCANO", 1
"VAMOS X LOS TESOROS", 1
"WHEN I DREAM", 1
"ZOMBIE FLUXX", 1
"ACADEMIA NINJA", 2
"ATRAPA AL RATON", 2
"BANDIDA", 2
"BANJOOLI XEET", 2
"BAR BESTIAL", 2
"BISS 20", 2
"CACOPHONY", 2
"CARTEROS ", 2
"CHICKYBOOM", 2
"CONEJITO BURBUJA ", 2
"COVALENCE", 2
"CUCU TRAS ", 2
"DOBBLE 1, 2, 3", 2
"EL GRAN PIRATA ", 2
"ESCUELA DE PINGUINOS ", 2
"GRANDE Y PELUDO", 2
"HILO ", 2
"HOTEL DE INSECTOS", 2
"HULA HULA ", 2
"ION", 2
"ISLA TUCANA", 2
"KING OF TOKIO ", 2
"LA LIEBRE Y EL PUERCO ESPIN ", 2
"LAPSUS ", 2
"LA TORRE DEL DRAGÓN ", 2
"LOGICA LA GRANJA", 2
"LOGI-GESITER", 2
"LOS INSEPARABLES", 2
"LOTTO", 2
"MISTIGRI", 2
"MIXMO", 2
"MOSQUITO ", 2
"OUCH !", 2
"PANTOLINO ", 2
"PEPTIDE", 2
"PLAPPA RAGEI", 2
"POLAR PARTY", 2
"PUNGI ", 2
"RÄUBER RAUPE (ORUGA LADRONA) ", 2
"RIVER ROADS Y RAIL", 2
"SCOTLAND YARD ", 2
"SERPIENTES Y ESCALERAS ", 2
"SHERIFF OF NOTTINGHAM", 2
"SI SEÑOR OSCURO ", 2
"SPEEDY ANTS ", 2
"TIMELINE: CIENCIA Y DESCUBRIMIENTOS", 2
"TOTEM ZEN ", 2
"TRAMPA DE ABEJORRO", 2
"TRIO VISION ", 2
"UN IMPERIO EN 8 MINUTOS", 2
"VAYA TOMATE ", 2
"VIRULENCE ", 2
"VROOM VROOM ", 2
"WIZARDRY", 2
"YOGI", 2
"CONECTADO", 3
"CONTRAST ", 3
"DANZA DEL HUEVO", 3
"DR. EUREKA", 3
"EL FRUTALITO", 3
"FAST FOOD FEAR", 3
"FILA FILO ", 3
"FLUXX", 3
"GANZ SCHÖN CLEVER ", 3
"GO GO GELATO", 3
"HOP HOP HOP ", 3
"JUNK ART: EL ARTE DE RECICLAR", 3
"JUST ONE ", 3
"LA ESCALERA ENCANTADA", 3
"MICRO ROBOTS", 3
"MONSTERKID", 3
"PICK A FOCA ", 3
"ROX ", 3
"SOPA DE BICHOS", 3
"TRIPLE DOMINO", 3
"TWISTY ", 3
"ALAKABLAST ", 4
"BITCOIN ", 4
"CHROMINO", 4
"CORTEX KIDS", 4
"DOBBLE XXL ", 4
"FANTASMA BLITZ ", 4
"FANTASMA BLITZ: ¡MENUDO SUSTO!", 4
"GALLETAS", 4
"GOBBLET GOBBLERS ", 4
"KAKER LAKEN TANZ", 4
"KINGDOMINO", 4
"KNIFFEL NIÑOS ", 4
"LA BANDA DE CONDORITO ", 4
"LOS ODIOSOS 7", 4
"LOS TRES CERDITOS", 4
"MAGUITOS", 4
"MONZA", 4
"NO SIN MI GATO", 4
"OJO DE CONDOR ", 4
"PÁJAROS CANTORES ", 4
"RATTO ZAKKO", 4
"SEGUNDON ", 4
"STICKY CHAMELEONS", 4
"UBONGO", 4
"AGE OF WAR", 5
"ANIMAL SOBRE ANIMAL", 5
"BANANAGRAMS ", 5
"CHECKPOINT CHARLIE", 5
"COCONUT PIRATE ", 5
"CÓDIGO SECRETO: IMÁGENES", 5
"DO DE LI DO", 5
"DRAFTOSAURUS ", 5
"EL ABEJORRO TRAMPOSO ", 5
"ENSALADA DE PUNTOS ", 5
"ESCALERA ENCANTADA (VERSIÓN METÁLICA) ", 5
"LA BATALLA DE PELOTILLEHUE", 5
"LOVE LETTER", 5
"MATRIOSKA", 5
"PICK A CERDO", 5
"PIKO PIKO ", 5
"PINGÜINOS ", 5
"TOPITO ", 5
"UNICORNIO DESTELLO ", 5
"BANG EL JUEGO DE DADOS ", 6
"BYE BYE OVEJA NEGRA ", 6
"CIUDADELAS", 6
"DEAL MAKER ", 6
"EL FRUTAL", 6
"EL LABERINTO MÁGICO ", 6
"EL MONSTRUO DE LOS CALCETINES", 6
"HOMBRES LOBO DE CASTONEGRO", 6
"IKONIKUS", 6
"LA DAMA Y EL TIGRE ", 6
"PLANETA ", 6
"SUPER GATOS", 6
"VOZ FUTURO ", 6
"CORTEX", 7
"FOREST ", 7
"IMAGINE", 7
"KARIBA ", 7
"LA FERIA DE LAS PULGAS DE TITIRILQUEN ", 7
"LA RESISTENCIA ", 7
"MONSTER CHEF ", 7
"POLILLA TRAMPOSA", 7
"SET", 7
"TELESTRATION ", 7
"ÉRASE UNA VEZ", 8
"LABERINTO MÁGICO (VERSIÓN METÁLICA)", 8
"LEO VA AL BARBERO", 8
"ROBOTS ", 8
"SIMILO HISTORIA ", 8
"TIMELINE: INVENTOS", 8
"VACA LOCA", 8
"CONCEPT", 9
"DADOS ZOMBIE", 9
"LA POLILLA TRAMPOSA ", 9
"MAREA ALTA", 9
"SPEED CUPS ", 9
"CÓDIGO SECRETO 13+4", 10
"HIPPO", 10
"RHINO HERO ", 10
"TIMELINE: EVENTOS", 10
"MAGIC MAZE", 11
"PANIC MANSION ", 11
"SUSHI GO!", 11
"1, 2, 3 AHORA ME VES...", 12
"CONSTRUCTORRES ", 12
"IMAGIDICE", 12
"SABOTEUR", 12
"JUNGLE SPEED", 13
"LLAMA", 13
"SABUESOS ", 13
"VIRUS", 13
"WINSTON ", 13
"ATAQUE ", 14
"DICE ACADEMY ", 14
"GOTOWN ", 14
"KLASK ", 14
"SPEED CUPS ", 14
"CÓDIGO SECRETO", 15
"LA ISLA PROHIBIDA", 15
"PISTAS CRUZADAS ", 16
"TACO GATO CABRA QUESO PIZZA", 16
"TACO GORRO TORTA CAJA PIZZA ", 16
"THE GAME", 16
"TIMELINE CHILE", 17
"DOBBLE KIDS", 18
"TAKENOKO ", 18
"HAPPY SALMON", 19
"AVENTUREROS AL TREN", 20
"CONDORITO RASCA CIELOS ", 20
"HANABI", 20
"BANDIDO", 21
"PANDEMIC", 21
"EL MONSTRUO DE COLORES", 22
"MUSA", 22
"ILUSION", 23
"TIMELINE: MULTITEMATICO", 24
"CARCASSONNE", 25
"QUIEN FUE", 25
"FANTASMA BLITZ", 26
"THE MIND", 26
"TOMA 6", 26
"STORY CUBES", 28
"DIXIT ODISSEY", 33
"DOBBLE", 33
"CATAN", 38